"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Fabrication de malt (NAF rév. 2, niveau classe, poste 11.06)";"Codes"
"idBank";"010537310";""
"Dernière mise à jour";"05/04/2022 08:45";""
"Période";"";""
"2022-02";"94.13";"A"
"2022-01";"100.12";"A"
"2021-12";"99.92";"A"
"2021-11";"97.01";"A"
"2021-10";"96.06";"A"
"2021-09";"90.63";"A"
"2021-08";"98.43";"A"
"2021-07";"95.48";"A"
"2021-06";"101.33";"A"
"2021-05";"102.96";"A"
"2021-04";"97.4";"A"
"2021-03";"100.64";"A"
"2021-02";"91.88";"A"
"2021-01";"97.73";"A"
"2020-12";"100.81";"A"
"2020-11";"98.01";"A"
"2020-10";"100.81";"A"
"2020-09";"90.31";"A"
"2020-08";"84.71";"A"
"2020-07";"80.51";"A"
"2020-06";"63.71";"A"
"2020-05";"69.31";"A"
"2020-04";"83.31";"A"
"2020-03";"102.91";"A"
"2020-02";"102.91";"A"
"2020-01";"102.91";"A"
"2019-12";"104.31";"A"
"2019-11";"95.21";"A"
"2019-10";"98.71";"A"
"2019-09";"96.61";"A"
"2019-08";"102.21";"A"
"2019-07";"104.31";"A"
"2019-06";"98.01";"A"
"2019-05";"103.61";"A"
"2019-04";"101.51";"A"
"2019-03";"105.02";"A"
"2019-02";"93.11";"A"
"2019-01";"104.31";"A"
"2018-12";"101.51";"A"
"2018-11";"97.31";"A"
"2018-10";"100.11";"A"
"2018-09";"97.31";"A"
"2018-08";"101.51";"A"
"2018-07";"100.81";"A"
"2018-06";"114.82";"A"
"2018-05";"102.91";"A"
"2018-04";"98.01";"A"
"2018-03";"100.81";"A"
"2018-02";"92.41";"A"
"2018-01";"100.81";"A"
"2017-12";"101.51";"A"
"2017-11";"99.41";"A"
"2017-10";"98.71";"A"
"2017-09";"93.81";"A"
"2017-08";"98.01";"A"
"2017-07";"100.11";"A"
"2017-06";"94.51";"A"
"2017-05";"101.51";"A"
"2017-04";"96.61";"A"
"2017-03";"100.11";"A"
"2017-02";"88.21";"A"
"2017-01";"100.11";"A"
"2016-12";"99.41";"A"
"2016-11";"96.61";"A"
"2016-10";"101.51";"A"
"2016-09";"100.11";"A"
"2016-08";"104.32";"A"
"2016-07";"102.91";"A"
"2016-06";"100.81";"A"
"2016-05";"104.32";"A"
"2016-04";"99.41";"A"
"2016-03";"105.02";"A"
"2016-02";"96.61";"A"
"2016-01";"100.81";"A"
"2015-12";"102.22";"A"
"2015-11";"99.42";"A"
